elapsed_s,phase,port,alicat_addr,target_sp,alicat_psi,transducer_psi,transducer_v,offset
20.429,dynamic,port_a,B,30.00,20.6700,20.6890,6.8963,0.0190
20.716,dynamic,port_a,B,30.00,20.9600,20.9755,6.9918,0.0155
21.004,dynamic,port_a,B,30.00,21.2500,19.1511,6.3837,-2.0989
21.291,dynamic,port_a,B,30.00,21.5300,21.0913,7.0304,-0.4387
21.579,dynamic,port_a,B,30.00,21.8200,21.8413,7.2804,0.0213
21.866,dynamic,port_a,B,30.00,22.1100,22.1234,7.3745,0.0134
22.154,dynamic,port_a,B,30.00,22.4000,20.3807,6.7936,-2.0193
22.441,dynamic,port_a,B,30.00,22.6900,22.3189,7.4396,-0.3711
22.729,dynamic,port_a,B,30.00,22.9700,22.9899,7.6633,0.0199
23.017,dynamic,port_a,B,30.00,23.2600,23.2731,7.7577,0.0131
23.304,dynamic,port_a,B,30.00,23.5500,22.1160,7.3720,-1.4340
23.592,dynamic,port_a,B,30.00,23.8300,23.1591,7.7197,-0.6709
23.879,dynamic,port_a,B,30.00,24.1200,24.1406,8.0469,0.0206
24.167,dynamic,port_a,B,30.00,24.4100,24.4225,8.1408,0.0125
24.455,dynamic,port_a,B,30.00,24.7000,23.4962,7.8321,-1.2038
24.743,dynamic,port_a,B,30.00,24.9900,24.2627,8.0876,-0.7273
25.030,dynamic,port_a,B,30.00,25.2700,25.2855,8.4285,0.0155
25.317,dynamic,port_a,B,30.00,25.5600,25.5704,8.5235,0.0104
25.605,dynamic,port_a,B,30.00,25.8500,24.6656,8.2219,-1.1844
25.892,dynamic,port_a,B,30.00,26.1300,25.3203,8.4401,-0.8097
26.180,dynamic,port_a,B,30.00,26.4200,26.4358,8.8119,0.0158
26.467,dynamic,port_a,B,30.00,26.7100,26.7231,8.9077,0.0131
26.755,dynamic,port_a,B,30.00,27.0000,25.8148,8.6049,-1.1852
27.043,dynamic,port_a,B,30.00,27.2800,26.4296,8.8099,-0.8504
